id,name,link_fb,link_ig,link_tiktok,followers_fb,followers_ig,followers_tiktok,total_followers,avatar_url
1,EXO Official,,https://www.instagram.com/weareone.exo,,0,10606134,0,10606134,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-19/540542681_18398769742190181_8177186843688198600_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QElFJ8k8N35MICeeOVEpxmtCXZ5nHIFFXaQCSzRvyxknjJK7l7tExSf8IB-kHI1Jmw&_nc_ohc=nZSULkFFoQwQ7kNvwFiGAH8&_nc_gid=Eh1Os_nq8lZW9tdlA39wNA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfiLquKbS9M5wrzMnwEAxCBfem4gf8GykhaXnpN0RUToaA&oe=692B73D2&_nc_sid=8b3546
2,Sơn Tùng M-TP 💋,,https://www.instagram.com/sontungmtp,,0,8354906,0,8354906,https://instagram.forf1-4.fna.fbcdn.net/v/t51.2885-19/469383131_460408080053636_5688550245858564790_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43ODMuYzIifQ&_nc_ht=instagram.forf1-4.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QGl7cs-8OJtmLEysGg5JjqQSAHqCMR0eYBFrEmEexhUqgnPRrLfyQym1RWqIUluYc7cXQc2vwwPYuEZjvH3CSt6&_nc_ohc=wpavJU72eIgQ7kNvwG0pM4e&_nc_gid=jSGWbrjsJ6vRQmm8txyNIg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfikB6vfl-VRY7zHSylKyoSKPGYLKWQIHSHanadAoFuUng&oe=692B6A33&_nc_sid=8b3546
3,Chi Pu,,https://www.instagram.com/chipupu,,0,5990338,0,5990338,https://scontent-ord5-3.cdninstagram.com/v/t51.2885-19/344484757_1215208169180445_8756886445382300482_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QHjL7_Z33JzKUYydws_cLLE1VHtiK2CsDzMxM_5133JgZItAjWxXsSzGjOoOSxgu4Q&_nc_ohc=LgyI3qrMqOgQ7kNvwFkUqxu&_nc_gid=uEP5BaPb-Nb5YthlN06PNg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Afg4PmkUsCAvWYhk5mPAiTGLUD99ymUHfbZndi1Z2eU3zg&oe=692B71A9&_nc_sid=8b3546
4,Ngoc Trinh,,https://www.instagram.com/ngoctrinh89,,0,5667945,0,5667945,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/581386353_18541312501007425_1970866818400288861_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MDQuYzIifQ&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QF5dW1oEuTluz7ekLU1bPI0hSuefduRBLhbUzRM0uro-MeZlk_X4uVL_jtqGxR-lio&_nc_ohc=qqNPOmq2o8IQ7kNvwG6NoWo&_nc_gid=t4w463YY-2ny4YS4bcbKfA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfgETe0BLV50J7mb--wf2oROB73Z8WprUVlCV8D9gpV9vA&oe=692B7167&_nc_sid=8b3546
5,TRẤN THÀNH,,https://www.instagram.com/tuilatranthanhday,,0,5630442,0,5630442,https://scontent-ord5-3.cdninstagram.com/v/t51.2885-19/576106855_18324667318243882_5092080836640880923_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QESQQ-sQEVXnUFknFLs0z8YMNiYCTyc4KBbFWf-elCqLEH8uh-OmyjZHqDO9oOHwSQ&_nc_ohc=kXntktdcd18Q7kNvwGF28yt&_nc_gid=zU7hUs3wPljcKLKptVfvqQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfjqcGwCkMhY0tovLaxQ6AJ0J06Q_j1m61ToNaePtOy6Ww&oe=692B544E&_nc_sid=8b3546
6,Ninh Dương Lan Ngọc,,https://www.instagram.com/ninh.duong.lan.ngoc,,0,5450096,0,5450096,https://scontent-lga3-3.cdninstagram.com/v/t51.2885-19/565150935_18535409617033171_3889025348007811269_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QHzSW7lRBCWQMWVi0A3t15kW7TyPW1omNq8vTXVWWcQ4db0zebOG5mNXSPSurHlk0k&_nc_ohc=QhLrKot5npsQ7kNvwFKWA7D&_nc_gid=Y2m2xWuyJVJqO8AK1UWpoQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Afi3BpRZ84-eOwBSlSMIKx6WPo_f7WeNJxA6OcS3TTlegg&oe=692B7682&_nc_sid=8b3546
7,Kiko Chan,,https://www.instagram.com/kikochan_official,,0,5403600,0,5403600,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-19/572358989_18331851415235826_3260315217170500548_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QGMoMKbbmKZ8JS8siqNHlxsEqMbB4tOvivlBagmIMq-WGFU6a9BO_pZ2MmIjOypTIo&_nc_ohc=ia4e8v5A7XcQ7kNvwHSQg32&_nc_gid=ke0TBNjnrG9YSQBt5-KONw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfjRoV7mRwt6UgrnM-4bKG8tiYG1OT9zKLmNncbG6h63Rw&oe=692B4D35&_nc_sid=8b3546
8,Linh Ngọc Đàm,,https://www.instagram.com/kinglnd,,0,4556991,0,4556991,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-19/554987280_18422654680110068_4057844959974994571_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmV4cGVyaW1lbnRhbCJ9&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QH_HR0eTobxYR4AmLRLX_rVJPTvamF-olEkyHAtDiLfJgfPL5T0gxsoiXfqzqPkLRw&_nc_ohc=tCZzzmzyHskQ7kNvwHQrlP1&_nc_gid=D4dr4dxx66x7trWdAZxHvA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfgIO2wefL48HCP60nE-Iclh2IPW43pLQYrPSn3UfSnlLQ&oe=692B52AC&_nc_sid=8b3546
9,여진구 Yeo Jin Goo,,https://www.instagram.com/yeojin9oo,,0,4495421,0,4495421,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-19/514664087_18470269336072751_1435063426636654970_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QFzRpPTOb6d09riwApoNUd_MIx75rRClA0WpDRK63umm6T7vG0mdEVlWI6zGcKdh1A&_nc_ohc=rBSfRY_itykQ7kNvwEI64Qa&_nc_gid=hHZm2iR2G4BpHkKDXjxmaA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfhEXmLdIXjV4Paz9AMp5qBBVVpVLJBBBFSuikA2dSNWvw&oe=692B3FB1&_nc_sid=8b3546
10,𝐍𝐆𝐔𝐘𝐄̂̃𝐍 𝐇𝐔̛𝐎̛𝐍𝐆 𝐆𝐈𝐀𝐍𝐆,,https://www.instagram.com/huoggiangggg,,0,4345022,0,4345022,https://scontent-mia3-3.cdninstagram.com/v/t51.2885-19/20066035_326024261181407_4039646509753434112_a.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDAwLmMyIn0&_nc_ht=scontent-mia3-3.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QEMn4XH28d-4jS_4geuM620MPS6w18UVzQkIsDCHWEKmvS_Cdqk9h_Apsd09UoITCc&_nc_ohc=h0hZ8Dj6X0IQ7kNvwH3ir40&_nc_gid=7BKrSqgblFX-5OUJe2Xdtw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Afj9Ikhe9B8ZbV6Wjrqoxw3LxhLC7JgFrTsejT89q-lusQ&oe=692B536A&_nc_sid=8b3546
11,🍒 Diệu Nhi  🍒,,https://www.instagram.com/dieu_nhiii,,0,4212541,0,4212541,https://scontent-atl3-3.cdninstagram.com/v/t51.2885-19/524615110_18526860652020835_8240882542413465543_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QH5v9FV-s_j_8RItnQMXc4M_w2FUehMLcJJZxD2VvRFJjWqI2Rdi7UgPsb_bjqqZ_U&_nc_ohc=qwMKhc-jz54Q7kNvwFD9mhu&_nc_gid=FNiySRGRDGWCb8ygGlgYBQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfjOxSJtBmp-4wqz5dIxoYElGa7eDJIdCIvaCnnQkiAcaw&oe=692B58EB&_nc_sid=8b3546
